ImageNumber,ObjectNumber,Metadata_C,Metadata_ChannelName,Metadata_ColorFormat,Metadata_FileLocation,Metadata_Frame,Metadata_Plate,Metadata_Series,Metadata_Site,Metadata_SizeC,Metadata_SizeT,Metadata_SizeX,Metadata_SizeY,Metadata_SizeZ,Metadata_T,Metadata_Well,Metadata_Z,FileName_CFP,FileName_DIC,FileName_RFP,FileName_YFP,PathName_CFP,PathName_DIC,PathName_RFP,PathName_YFP,Intensity_IntegratedIntensityEdge_CFP,Intensity_IntegratedIntensityEdge_RFP,Intensity_IntegratedIntensityEdge_YFP,Intensity_IntegratedIntensity_CFP,Intensity_IntegratedIntensity_RFP,Intensity_IntegratedIntensity_YFP,Intensity_LowerQuartileIntensity_CFP,Intensity_LowerQuartileIntensity_RFP,Intensity_LowerQuartileIntensity_YFP,Intensity_MADIntensity_CFP,Intensity_MADIntensity_RFP,Intensity_MADIntensity_YFP,Intensity_MassDisplacement_CFP,Intensity_MassDisplacement_RFP,Intensity_MassDisplacement_YFP,Intensity_MaxIntensityEdge_CFP,Intensity_MaxIntensityEdge_RFP,Intensity_MaxIntensityEdge_YFP,Intensity_MaxIntensity_CFP,Intensity_MaxIntensity_RFP,Intensity_MaxIntensity_YFP,Intensity_MeanIntensityEdge_CFP,Intensity_MeanIntensityEdge_RFP,Intensity_MeanIntensityEdge_YFP,Intensity_MeanIntensity_CFP,Intensity_MeanIntensity_RFP,Intensity_MeanIntensity_YFP,Intensity_MedianIntensity_CFP,Intensity_MedianIntensity_RFP,Intensity_MedianIntensity_YFP,Intensity_MinIntensityEdge_CFP,Intensity_MinIntensityEdge_RFP,Intensity_MinIntensityEdge_YFP,Intensity_MinIntensity_CFP,Intensity_MinIntensity_RFP,Intensity_MinIntensity_YFP,Intensity_StdIntensityEdge_CFP,Intensity_StdIntensityEdge_RFP,Intensity_StdIntensityEdge_YFP,Intensity_StdIntensity_CFP,Intensity_StdIntensity_RFP,Intensity_StdIntensity_YFP,Intensity_UpperQuartileIntensity_CFP,Intensity_UpperQuartileIntensity_RFP,Intensity_UpperQuartileIntensity_YFP,Location_CenterMassIntensity_X_CFP,Location_CenterMassIntensity_X_RFP,Location_CenterMassIntensity_X_YFP,Location_CenterMassIntensity_Y_CFP,Location_CenterMassIntensity_Y_RFP,Location_CenterMassIntensity_Y_YFP,Location_CenterMassIntensity_Z_CFP,Location_CenterMassIntensity_Z_RFP,Location_CenterMassIntensity_Z_YFP,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_CFP,Location_MaxIntensity_X_RFP,Location_MaxIntensity_X_YFP,Location_MaxIntensity_Y_CFP,Location_MaxIntensity_Y_RFP,Location_MaxIntensity_Y_YFP,Location_MaxIntensity_Z_CFP,Location_MaxIntensity_Z_RFP,Location_MaxIntensity_Z_YFP,Number_Object_Number
1,1,0,nan,monochrome,file:///C:/Users/ajdav/OneDrive%20-%20University%20of%20Cambridge/3rd%20Year%20%28II%29/6.%20Research%20Project/EXP5%20-%20forward%20transfection%20repeat%203/150224%20Images%20for%20Analysis/20-1_1_MMStack_Default.ome.tif,nan,nan,0,nan,1,4,1344,1100,1,nan,nan,0,20-1_1_MMStack_Default.ome.tif,20-1_1_MMStack_Default.ome.tif,20-1_1_MMStack_Default.ome.tif,20-1_1_MMStack_Default.ome.tif,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,2.5488670580089092,2.2001525901723653,2.737087117973715,123.46816410170868,106.19569694180973,130.9610926732421,0.00379949645139277,0.003265430685132742,0.004028381779789925,0.00013733142986893654,0.00012207217514514923,0.00015259021893143654,0.2805842562341901,0.45324474659226177,0.6203875666773242,0.004440375603735447,0.004074159078299999,0.0049134050495922565,0.00474555604159832,0.004257267341017723,0.00508125452324748,0.003939516318406351,0.0034005449616265307,0.004230428312169575,0.00394340990423854,0.0033917501418655295,0.004182724135204155,0.003936827648431063,0.003387502860277891,0.004180971998721361,0.0033722438383847475,0.0028381780721247196,0.0034943160135298967,0.00317387655377388,0.0025787746999412775,0.0033264667727053165,0.00020323040556944667,0.00018265207150296238,0.00022780688144062412,0.00020734776818521214,0.00018622937958418686,0.00022171026953990365,0.004089417867362499,0.003524834057316184,0.004333562217652798,459.8489456996017,459.9956814651755,460.1779615368155,161.68589493727663,161.78359588814462,161.82175104152398,0.0,0.0,0.0,459.6630150111785,161.4757585435963,463.0,463.0,513.0,233.0,124.0,239.0,0.0,0.0,0.0,1
2,1,0,nan,monochrome,file:///C:/Users/ajdav/OneDrive%20-%20University%20of%20Cambridge/3rd%20Year%20%28II%29/6.%20Research%20Project/EXP5%20-%20forward%20transfection%20repeat%203/150224%20Images%20for%20Analysis/20-1_2_MMStack_Default.ome.tif,nan,nan,0,nan,1,4,1344,1100,1,nan,nan,0,20-1_2_MMStack_Default.ome.tif,20-1_2_MMStack_Default.ome.tif,20-1_2_MMStack_Default.ome.tif,20-1_2_MMStack_Default.ome.tif,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,2.9114519075956196,2.6725108718965203,3.691111695719883,139.05407834867947,127.16365299094468,170.2641831357032,0.003479056991636753,0.0031891355756670237,0.004028381779789925,0.00013733119703829288,0.00013733119703829288,0.0003356984816491604,1.511860978058832,1.1423206706497002,2.143242775069304,0.00440985755994916,0.00440985755994916,0.006408789195120335,0.004547188524156809,0.00440985755994916,0.007400625851005316,0.0036530136858163357,0.0033532131391424344,0.004631256832772751,0.003625543055448701,0.0033155251861851356,0.004439280991179621,0.003616388188675046,0.003311207750812173,0.004318303428590298,0.0028381780721247196,0.002685587853193283,0.0033264667727053165,0.0028381780721247196,0.002563515678048134,0.0030975814443081617,0.00024000210402494823,0.00021742863170986696,0.0006925387493981011,0.00021160334700928108,0.0001935491058641873,0.0005608567339378391,0.0037689784076064825,0.0034485389478504658,0.00474555604159832,175.1033482127594,174.80786892172722,173.13367288055025,966.0800923462004,966.3036393300176,965.087834054002,0.0,0.0,0.0,173.95752724618032,967.0664076758617,159.0,47.0,66.0,898.0,953.0,1016.0,0.0,0.0,0.0,1
3,1,0,nan,monochrome,file:///C:/Users/ajdav/OneDrive%20-%20University%20of%20Cambridge/3rd%20Year%20%28II%29/6.%20Research%20Project/EXP5%20-%20forward%20transfection%20repeat%203/150224%20Images%20for%20Analysis/20-1_3_MMStack_Default.ome.tif,nan,nan,0,nan,1,4,1344,1100,1,nan,nan,0,20-1_3_MMStack_Default.ome.tif,20-1_3_MMStack_Default.ome.tif,20-1_3_MMStack_Default.ome.tif,20-1_3_MMStack_Default.ome.tif,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,2.3008468924090266,2.113954375497997,2.557290054857731,92.85687086707912,85.42890058946796,101.7056552930735,0.003570611122995615,0.0032806897070258856,0.003830014495179057,0.00013733119703829288,0.00013733119703829288,0.00018310826271772385,0.8112349404245631,0.691304925228348,2.0339272405642204,0.004486152436584234,0.004318303428590298,0.005737392231822014,0.004669260699301958,0.004348821472376585,0.0065918974578380585,0.003753420705398086,0.003448538948610109,0.004171761916570524,0.00371368064577984,0.0034166093660801455,0.004067575399658995,0.003707942320033908,0.0034180209040641785,0.003997863736003637,0.00317387655377388,0.0028839551378041506,0.003479056991636753,0.0028839551378041506,0.002685587853193283,0.0030212863348424435,0.00021415710357165784,0.0001969172729284202,0.00040530584685189813,0.00021204853641807093,0.00019423786685035855,0.00037723978029641214,0.0038452735170722008,0.0035400930792093277,0.0042114900425076485,114.21499410333806,114.07756499499472,115.37490925207703,926.783240950939,926.7423376585732,927.5619519533301,0.0,0.0,0.0,113.42709166533355,926.976403775396,199.0,179.0,153.0,924.0,927.0,947.0,0.0,0.0,0.0,1
4,1,0,nan,monochrome,file:///C:/Users/ajdav/OneDrive%20-%20University%20of%20Cambridge/3rd%20Year%20%28II%29/6.%20Research%20Project/EXP5%20-%20forward%20transfection%20repeat%203/150224%20Images%20for%20Analysis/20-1_4_MMStack_Default.ome.tif,nan,nan,0,nan,1,4,1344,1100,1,nan,nan,0,20-1_4_MMStack_Default.ome.tif,20-1_4_MMStack_Default.ome.tif,20-1_4_MMStack_Default.ome.tif,20-1_4_MMStack_Default.ome.tif,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,2.564004031708464,2.095902952365577,3.1561761596240103,98.03012363985181,81.15118638961576,114.70921153551899,0.003982604946941137,0.0032959487289190292,0.004455634392797947,0.00015259021893143654,0.00012207217514514923,0.0002899216488003731,0.7521718857457709,0.362411280452446,3.7791126074837984,0.005065995268523693,0.003997863736003637,0.007721065077930689,0.005065995268523693,0.0041962312534451485,0.008163576945662498,0.00421018724418467,0.0034415483618482384,0.005182555270318572,0.004144686438349899,0.0034310496528672314,0.004849873648550608,0.004135195165872574,0.003433279925957322,0.004684519954025745,0.0036011291667819023,0.0028534370940178633,0.003936827648431063,0.0032501716632395983,0.0027008468750864267,0.0036011291667819023,0.00024663999395211993,0.00018292566394238822,0.0008572485884223174,0.00022872648402037012,0.00018697608557843374,0.0005877097296094635,0.00430304417386651,0.0035553521011024714,0.005111772567033768,394.45091581126434,393.9808489433019,397.4979053198685,140.22823395035408,140.3044402100865,139.9913500155532,0.0,0.0,0.0,393.7193049213597,140.05356840859125,479.0,382.0,479.0,163.0,216.0,149.0,0.0,0.0,0.0,1
5,1,0,nan,monochrome,file:///C:/Users/ajdav/OneDrive%20-%20University%20of%20Cambridge/3rd%20Year%20%28II%29/6.%20Research%20Project/EXP5%20-%20forward%20transfection%20repeat%203/150224%20Images%20for%20Analysis/20-1_6_MMStack_Default.ome.tif,nan,nan,0,nan,1,4,1344,1100,1,nan,nan,0,20-1_6_MMStack_Default.ome.tif,20-1_6_MMStack_Default.ome.tif,20-1_6_MMStack_Default.ome.tif,20-1_6_MMStack_Default.ome.tif,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,3.1014267953578383,2.5471122332382947,3.2242466665338725,140.7241813694127,115.16165411775,144.3961736713536,0.004028381779789925,0.0032806897070258856,0.0041199359111487865,0.00015259021893143654,0.00013733119703829288,0.00016784900799393654,1.4020136071800091,1.5427493335536253,2.1449586852321203,0.0059967958368361,0.007965209893882275,0.00758373411372304,0.006271458230912685,0.008087282069027424,0.0076752882450819016,0.004254357743975087,0.0034939811155532165,0.004422834933516972,0.004196838190612051,0.0034344831385210704,0.0043063485631610636,0.0041962312534451485,0.0034180209040641785,0.004272526130080223,0.0034637979697436094,0.0027466239407658577,0.0035095750354230404,0.0033264667727053165,0.002639810787513852,0.0034485389478504658,0.00031962485878775696,0.00047679072844640535,0.0004943133892212569,0.0002466009332667506,0.0002656310324220848,0.00031159860845827894,0.004348821472376585,0.0035553521011024714,0.004455634392797947,161.35059257870017,161.49331916051284,162.11221638373758,783.3792144645826,783.3809898744811,783.5968443637588,0.0,0.0,0.0,159.96728400584533,783.6074677164415,286.0,285.0,287.0,756.0,757.0,758.0,0.0,0.0,0.0,1
6,1,0,nan,monochrome,file:///C:/Users/ajdav/OneDrive%20-%20University%20of%20Cambridge/3rd%20Year%20%28II%29/6.%20Research%20Project/EXP5%20-%20forward%20transfection%20repeat%203/150224%20Images%20for%20Analysis/20-2_1_MMStack_Default.ome.tif,nan,nan,0,nan,1,4,1344,1100,1,nan,nan,0,20-2_1_MMStack_Default.ome.tif,20-2_1_MMStack_Default.ome.tif,20-2_1_MMStack_Default.ome.tif,20-2_1_MMStack_Default.ome.tif,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,2.8594949909020215,2.571618229150772,3.0371252726763487,113.19406659365632,101.44815773447044,117.96846248628572,0.003906309604644775,0.0034943160135298967,0.004043641034513712,0.00015259021893143654,0.00013733119703829288,0.00015259021893143654,0.5513191141651796,0.25076179804701004,1.1695737616495552,0.005035477224737406,0.00508125452324748,0.00634775310754776,0.005188067443668842,0.00555428396910429,0.00634775310754776,0.004108469814514399,0.003694853777515477,0.00436368573660395,0.004050746728945617,0.0036304093091350715,0.004221602579669543,0.004043641034513712,0.0036316472105681896,0.0041962312534451485,0.003387502860277891,0.0030975814443081617,0.0036316472105681896,0.003265430685132742,0.002868696115911007,0.00334172579459846,0.00024972196506015516,0.0002315582842440289,0.00043702828125652133,0.00021823693585167425,0.00020406786873323213,0.00027919010310508357,0.0041962312534451485,0.003753719385713339,0.004364080261439085,1105.7252132609112,1106.042725550446,1105.1943127160225,656.1426408978493,656.3870525508802,655.789940623064,0.0,0.0,0.0,1106.2624892642427,656.2662825651303,1179.0,1182.0,1025.0,654.0,651.0,622.0,0.0,0.0,0.0,1
7,1,0,nan,monochrome,file:///C:/Users/ajdav/OneDrive%20-%20University%20of%20Cambridge/3rd%20Year%20%28II%29/6.%20Research%20Project/EXP5%20-%20forward%20transfection%20repeat%203/150224%20Images%20for%20Analysis/20-2_2_MMStack_Default.ome.tif,nan,nan,0,nan,1,4,1344,1100,1,nan,nan,0,20-2_2_MMStack_Default.ome.tif,20-2_2_MMStack_Default.ome.tif,20-2_2_MMStack_Default.ome.tif,20-2_2_MMStack_Default.ome.tif,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,2.7468834053725004,2.347753108944744,3.069199737161398,126.54450552468188,108.44161136867478,136.32013777224347,0.003875791560858488,0.003311207750812173,0.004135195165872574,0.00013733142986893654,0.00013733119703829288,0.00016784947365522385,0.8711238384486881,0.644041701452504,2.569082704396119,0.004791332874447107,0.003997863736003637,0.007644770201295614,0.005477989092469215,0.0061036087572574615,0.0077668423764407635,0.004045483660342416,0.0034576628997713458,0.004520176343389393,0.004026873684158532,0.0034508070443492376,0.004337951878193905,0.004028381779789925,0.0034485389478504658,0.00430304417386651,0.003402761882171035,0.0029297322034835815,0.003402761882171035,0.00317387655377388,0.002685587853193283,0.003356984816491604,0.00022372826743815316,0.00018867484256270895,0.0007154955030849033,0.00021507217908985234,0.00020032056303017474,0.00036030504015709564,0.004165713209658861,0.0035858701448887587,0.004470893647521734,1199.305913316684,1199.6358880492908,1197.8874546298587,366.2306520650552,366.33587431797747,367.18646826278643,0.0,0.0,0.0,1200.1133174224344,365.9036117740652,1187.0,1187.0,1113.0,422.0,422.0,454.0,0.0,0.0,0.0,1
8,1,0,nan,monochrome,file:///C:/Users/ajdav/OneDrive%20-%20University%20of%20Cambridge/3rd%20Year%20%28II%29/6.%20Research%20Project/EXP5%20-%20forward%20transfection%20repeat%203/150224%20Images%20for%20Analysis/20-2_3_MMStack_Default.ome.tif,nan,nan,0,nan,1,4,1344,1100,1,nan,nan,0,20-2_3_MMStack_Default.ome.tif,20-2_3_MMStack_Default.ome.tif,20-2_3_MMStack_Default.ome.tif,20-2_3_MMStack_Default.ome.tif,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,3.342305679572746,2.871168077457696,3.7625849451869726,129.31087331008166,112.14175634412095,141.26920221978799,0.003662165254354477,0.00317387655377388,0.003830014495179057,0.00015259021893143654,0.00013733119703829288,0.0002441445831209421,1.0154658406043975,0.9854932226393293,3.5685307629959104,0.004547188524156809,0.003906309604644775,0.006439307238906622,0.005477989092469215,0.005828946363180876,0.006775005720555782,0.0038417306661755702,0.0033001931924801107,0.004324810281824107,0.0038175205417318118,0.0033106532147763987,0.0041705547846304725,0.00379949645139277,0.0032959487289190292,0.004043641034513712,0.0032349126413464546,0.0026550698094069958,0.003128099488094449,0.002990768291056156,0.0025787746999412775,0.0029297322034835815,0.00022628717414872076,0.00019510015469743046,0.0006447643603931165,0.00023312275060328658,0.00023754787586935912,0.0005081653055358204,0.00395208690315485,0.003433279925957322,0.004364080261439085,105.35282823588841,105.26968562322365,105.63323293500156,102.89622409515947,102.98433218993814,105.81851801804083,0.0,0.0,0.0,104.43763469429929,102.45623357836625,182.0,182.0,181.0,95.0,95.0,97.0,0.0,0.0,0.0,1
9,1,0,nan,monochrome,file:///C:/Users/ajdav/OneDrive%20-%20University%20of%20Cambridge/3rd%20Year%20%28II%29/6.%20Research%20Project/EXP5%20-%20forward%20transfection%20repeat%203/150224%20Images%20for%20Analysis/20-2_4_MMStack_Default.ome.tif,nan,nan,0,nan,1,4,1344,1100,1,nan,nan,0,20-2_4_MMStack_Default.ome.tif,20-2_4_MMStack_Default.ome.tif,20-2_4_MMStack_Default.ome.tif,20-2_4_MMStack_Default.ome.tif,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,3.77299157041125,3.39247731002979,4.938658817205578,178.6581685943529,160.67473872192204,214.0663044725079,0.003570611122995615,0.003219653619453311,0.003906309604644775,0.00015259021893143654,0.00013733119703829288,0.0002594033721834421,1.2856953572772347,2.721927114029224,9.354519265347603,0.006927595939487219,0.01028458122164011,0.015320057980716228,0.006927595939487219,0.01028458122164011,0.015320057980716228,0.003889682031351804,0.003497399288690505,0.0050914008424799775,0.003744198352635445,0.0033673136625434245,0.0044862583718775235,0.0037232013419270515,0.003356984816491604,0.0041199359111487865,0.0030670634005218744,0.0028381780721247196,0.0032501716632395983,0.002914473181590438,0.0024414435029029846,0.0031891355756670237,0.00043902771048026716,0.0006026433542984035,0.002376816660673783,0.0002724333581237365,0.00026614012677915146,0.001217031318695788,0.0038910505827516317,0.0034943160135298967,0.004486152436584234,236.94252106050394,238.7139337959073,228.8838083551556,103.73587397152046,102.76361436351391,108.94675221868596,0.0,0.0,0.0,235.99400620336993,102.86792690082991,411.0,411.0,179.0,118.0,118.0,174.0,0.0,0.0,0.0,1
10,1,0,nan,monochrome,file:///C:/Users/ajdav/OneDrive%20-%20University%20of%20Cambridge/3rd%20Year%20%28II%29/6.%20Research%20Project/EXP5%20-%20forward%20transfection%20repeat%203/150224%20Images%20for%20Analysis/20-2_5_MMStack_Default.ome.tif,nan,nan,0,nan,1,4,1344,1100,1,nan,nan,0,20-2_5_MMStack_Default.ome.tif,20-2_5_MMStack_Default.ome.tif,20-2_5_MMStack_Default.ome.tif,20-2_5_MMStack_Default.ome.tif,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,C:\Users\ajdav\OneDrive - University of Cambridge\3rd Year (II)\6. Research Project\EXP5 - forward transfection repeat 3\150224 Images for Analysis,2.7797208179254085,2.3917143531143665,3.0733654552605003,125.32595027959906,108.94349588872865,133.69621142512187,0.003830014495179057,0.003311207750812173,0.004058899823576212,0.0001525904517620802,0.00015259021893143654,0.00016784947365522385,1.0125722096181575,1.3178726819512507,1.2287307152370173,0.0048981462605297565,0.004058899823576212,0.005935759749263525,0.0048981462605297565,0.004333562217652798,0.005935759749263525,0.004034427892489707,0.0034712835313706336,0.004460617496749638,0.003982520902462711,0.003461930658385352,0.004248505240875842,0.003982604946941137,0.0034485389478504658,0.004226749297231436,0.0034485389478504658,0.002822919050231576,0.0036011291667819023,0.0031891355756670237,0.0026703288313001394,0.0032501716632395983,0.00023549578545501118,0.00021130746675821887,0.00035031588546548096,0.0002216444827054049,0.0002076871713436923,0.000281623588834232,0.004135195165872574,0.0036011291667819023,0.00440985755994916,1040.0890356049288,1039.8540564742038,1040.2221112362388,105.63905059637385,105.8598954956875,105.915054522828,0.0,0.0,0.0,1040.520957132416,104.72321967650704,969.0,982.0,956.0,165.0,152.0,65.0,0.0,0.0,0.0,1
