RFPminusBG,YFPminusBG
0.002643614,1.00E-25
0.006607691,0.001309364
0.004460293,0.009227055
0.000353898,0.004475882
0.000187465,0.023223681
0.007753102,0.001516342
0.000741243,0.018635577
0.000374166,0.054066187
0.021310136,0.000519504
0.018243162,0.000360509
0.000778405,0.021015432
0.000138881,0.011447243
0.001100869,0.012684884
4.91E-05,0.008622389
0.022257409,0.002193315
0.001261492,0.033502543
0.002089697,0.035829022
0.000170245,0.008666564
0.001907364,0.020899344
0.002041456,0.027623743
0.010856216,1.00E-25
0.000279159,0.030154339
0.005839011,0.027289564
0.000105479,0.007686386
0.031573069,0.001453506
0.00302002,0.000514694
0.029125385,0.002061491
0.00039173,0.018053489
0.00048166,0.019168388
0.009990363,0.000581588
0.000803549,0.012638815
0.000262682,0.02734215
0.00358897,0.035756319
0.003536486,0.003518506
0.012540593,0.023601002
0.009812448,0.002881428
0.000670764,0.015177916
0.010983618,0.0405626
0.000294279,0.038701817
0.002058299,0.028748397
0.000886895,0.053132375
0.008571939,0.000655004
0.000825578,0.012465298
0.002789637,1.00E-25
0.001651662,0.000974929
0.013363182,0.028151474
0.003498826,0.035914254
0.000649134,0.037165755
0.019085803,0.000138101
0.00136073,1.00E-25
0.007116492,0.000771044
0.007037087,0.000916228
0.01111376,0.014080988
0.001679905,1.00E-25
0.00176667,1.00E-25
0.014179892,0.000209236
0.008369495,0.009183011
0.002563095,1.00E-25
0.000739816,0.021568584
0.000323632,0.010252207
0.000213942,0.034866509
0.000694156,0.024436921
0.001613738,0.022382516
0.003267201,0.002685116
0.004805268,0.001229219
0.00247238,0.0022292
0.006144431,0.009808629
0.000380194,0.04415962
0.011188147,0.002658452
0.001454908,0.035963383
0.007240163,0.000424316
0.011926568,7.91E-05
0.001176049,0.000522133
0.001269605,0.000710036
0.002388035,0.027905389
0.001030821,8.96E-05
0.001127854,1.00E-25
0.006077542,0.024541724
0.000570832,0.009581592
0.004637468,0.018435515
0.00045412,0.036185309
0.000956045,0.055655835
0.003122545,0.000779375
0.002973924,0.000118379
0.011341129,1.00E-25
0.003685176,0.000355722
0.001736601,6.09E-04
0.003912343,0.0001978
0.002494865,0.001080214
0.003727808,0.024976618
0.000501737,0.038155591
0.002180693,1.00E-25
0.000271929,0.028691606
0.006920794,1.00E-25
0.002469922,0.000135951
0.000189446,0.030956471
0.00043216,0.027340918
0.000518108,0.03221813
0.001598062,3.67E-04
0.006294064,0.003514615
0.000527433,0.023855922
0.000431986,0.028216189
0.001464319,0.000180878
0.006777058,0.006133674
0.008556366,0.002170427
0.00028702,1.90E-02
0.006205571,0.006829574
0.002578533,3.02E-04
0.000209793,0.030022795
0.02243952,0.000729441
0.000325386,0.020932979
0.006759387,0.007749606
7.46E-03,0.008368464
0.006573385,0.007634848
0.003236688,0.007602856
0.007078484,0.013325726
2.71E-03,5.18E-05
0.000231595,0.039572793
0.001888147,0.006100135
0.002656676,1.00E-25
0.014329178,1.00E-25
0.007827592,0.000738353
0.00536131,0.000779943
0.002298475,0.021124107
0.002975549,0.023145959
0.004122204,1.26E-02
0.020226334,0.000610892
0.003068872,8.27E-03
0.004796989,0.004475823
0.004859762,0.000880416
5.85E-03,0.000658523
0.000653396,0.017672155
0.006453663,7.16E-04
0.000343079,0.025442796
9.69E-05,0.012932659
0.000356265,0.030364989
0.00042413,3.14E-02
0.004329297,0.000548665
0.000483793,0.030667552
0.000404989,2.40E-02
0.000438477,1.20E-02
0.005210378,0.000759033
1.93E-04,0.022302566
0.004538295,0.002833992
0.001320618,0.029624331
0.005760351,0.018605031
0.000423371,0.018726055
0.034331979,0.007730833
0.005245732,0.00093821
0.001134292,0.001395602
0.000453012,0.029837644
0.004232849,0.002917812
0.000516103,0.029237613
0.013530278,0.000928229
0.001477644,0.009805735
0.002030304,0.000545925
0.010825178,0.000776789
0.000888941,0.02429345
0.000349184,0.011409929
0.000403314,0.009350571
0.002785963,0.000638564
0.007664872,0.000744538
0.000468242,0.033354829
0.011423875,0.000804147
0.003263696,0.000255473
0.000888053,0.02204684
0.006410341,0.000864801
0.02355611,0.00076483
0.005940537,0.002289428
0.00461619,0.000279266
0.009097524,0.000397432
0.00062361,0.03119242
0.000457461,0.012758686
0.009127516,0.000937206
0.003279643,0.000364567
0.001061304,0.000440917
0.004177319,0.016519689
0.005637499,0.006097145
0.000286915,0.012853732
0.001017448,0.000494961
0.000339081,0.023031187
0.003171286,0.018139985
0.000486767,0.016106463
0.004533623,0.000432641
0.006886752,0.010939246
0.009406045,0.001760348
0.005943625,0.018367805
0.002945346,0.017845468
0.005244936,0.000479717
0.002416579,0.000490912
0.005727436,0.00289113
0.000603235,0.026926346
0.000362991,0.043619978
0.000684625,0.011282186
0.000858439,0.005502553
0.004299345,0.054301018
0.022725194,0.002774345
0.001711659,0.035874829
0.001264161,0.035812302
0.019588036,0.013947532
0.002141236,0.023129848
0.001687322,0.028485975
0.005321549,0.026293023
0.001950392,0.028537567
0.028039461,0.000939549
0.002866497,0.000641637
0.032917944,0.003842221
0.019837384,0.000899681
0.000453222,0.019650702
0.000500752,0.020495213
0.008686608,0.000394461
0.000986434,0.014833116
0.003414188,0.033102683
0.002096073,0.063049564
0.003374675,0.00323272
0.01451748,0.028057537
0.008708035,0.002655027
0.000491242,0.01445658
0.011285507,0.043558579
0.001141603,0.062672865
0.002051504,0.031029179
0.009156363,0.000999314
0.000364139,0.022774482
0.000721829,0.012083921
0.003813585,0.00079998
0.000315112,0.023368033
0.001101576,0.031653091
0.016383725,0.035632441
0.000669134,0.038723847
0.003336845,0.03582316
0.023223814,0.000788642
0.000421939,0.026683933
0.007525289,0.001040694
0.007080685,0.001140008
0.012755964,0.016918406
0.002466628,0.000268761
0.002497091,0.000296754
0.020341196,0.001130822
0.003667142,0.000227571
0.010678646,0.010965966
0.002310646,0.034604025
0.000457335,0.022824476
0.004183185,0.002185493
0.013374134,0.000292351
0.019633436,0.000763409
0.00046731,0.026175782
0.001443255,1.00E-25
4.15E-05,0.01556292
0.000456866,0.025672674
0.000625112,0.014357035
0.006093342,0.055158457
0.007726903,0.000254966
0.000140458,0.01862341
0.000555928,0.007305315
0.003757259,0.003088952
0.000302451,0.018810648
0.00036849,0.018540525
0.00012383,0.00565949
0.00086492,0.001389309
0.00408167,0.016733771
0.002284209,0.000312108
0.003087848,0.000272153
0.000202468,0.017090599
0.002408187,0.010084359
0.001411123,0.042835688
0.000516452,0.033045507
0.00668162,0.000442959
0.00237212,0.00600717
0.000200508,0.001571938
0.00053656,0.006229079
0.000840393,0.0004845
0.008144619,0.001983089
0.005703462,0.017830828
0.005015146,0.029196532
0.001427917,0.019252316
0.007273569,0.001596635
0.000316053,0.005991282
0.000581843,0.044703804
0.000285136,0.003567959
0.002635275,0.000298776
0.004518673,0.000347049
0.012265784,0.000561798
0.000969195,0.00064658
0.000969258,0.000459047
0.015170408,0.000598714
0.000215304,0.004509183
0.00085367,0.00571108
0.006044218,0.009920671
0.001421431,0.002163218
0.000402484,0.006908779
0.00210513,0.002349596
0.000299824,0.00371187
0.000444393,0.034734008
0.000656841,0.004267588
0.000510998,0.041304529
0.001262853,0.003125667
0.000351384,0.019840818
0.002955512,0.015250008
0.000383872,0.013025551
0.001341713,0.000334159
0.000331322,0.011672266
0.01135853,0.00048924
0.000303656,0.009008135
0.000561323,0.030410308
0.001333025,0.000314292
